INVENTARNUMMER;TYP;BESCHRIFTUNG;THEMATISCHE ZUORDNUNG;PUBLIKATION;ORT;JAHR;RELEVANZ;INHALT;FOTO;KOMMENTAR;Ges.anzahl;;;;;
;;;;;;;;;;;;;;;;
I.1.1;Manuskript ;(keine);Rf;;;;;Korrekturfahnen Renaissance Frankreich (42-130);;;88;;;;;
I.1.2;Manuskript ;Ms II Bd. 1 (...);Rf;;;;;Manuskript Renaissance Frankreich (1-675);;startet bei Kapitel 6 (Baustile);675;;;;;
I.1.3.a;Sammlung loser Blätter;"Paris HvG; Cabinet des Estampes Paris (?)";Rf;;;;;22 Notizen und Skizzen (auf Transparentpapier);;Notizen vor Ort aufgenommen;22;;;;;
I.1.3.b;Sammlung loser Blätter;"Paris HvG; In Paris zu finden";Rf;;;;XXX;18 Zeichnungen beschriftet (ital.), 2 Notizen;;Skizzen von Werken von Louvre-Künstlern;20;;;;;
I.1.3.c;Sammlung loser Blätter;Paris HvG;Rf ;;;1904;XXX;"1 Brief (Abs. Bibliotheque National; Henri Doheran/Doherain/Dohèrain/Doherian)";;;1;;;;;
I.1.4;Sammlung loser Blätter;Nr. 97 HvG (?);Rf;;;1899;XXX;"1 Skizzenbuch (Adressen, Abrechnungen, Namenslisten, div. Einträge, Zeichnungen; Louvre)";;"Seite 1: HvG Adresse in Baden-Baden - Louisen Straße 3; Gustaf Moreau (Luxenburg). Henrie Rupp. Dellacotte; vor Ort Skizzen (Theater von Parma, Zeichung Medicikapelle u.a.); Einlagenotiz in anderem Format (Toscanawerk); Collection Lasalle ";1;;;;;
I.1.5.a;Sammlung loser Blätter;5) Cancelleria;B;;;1908;XXX;45 Notizen und Skizzen zur Cancelleria (Lageplan, Pläne, Detailzeichnungen) - für geplante Publikation über Bramante;;;45;;;;;
I.1.5.b;Sammlung loser Blätter;"Cancelleria; Vorbild für die Kapitelle des Hofs der Cancelleria ";B;;;;;2 Skizzen;;Villa Giulia, San Pietro in Montorio;2;;;;;
I.1.5.c;Sammlung loser Blätter;"Cancelleria; Richtung Bramante in Toscana";B;;;;;2 Notizen;;;3;;;;;
