META,FOTO_NR,BEZEICHNUNG,WERK,INVNR,PERSON,ZEIT,BEMERKUNG,ORT,X,NUMMER
0,6126,Rötelzeichnung (Architektur   Grundriss),,,,,St.Peter,,,
0,6127,Rötelzeichnung (Architektur   Grundriss),,,,,St.Peter,,,
0,6128,Rötelzeichnungen (Architektur),,,,,St.Peter,,,
0,6129,Rötelzeichnungen (Architektur),,,,,St.Peter,,,
0,6130,Rötelzeichnungen (Architektur),,,,,St.Peter,,,
0,6131,Rötelzeichnungen (Architektur),,,,,St.Peter,,,
0,6132,Rötelzeichnungen (Architektur),,,,,St.Peter,,,
0,6133,Rötelzeichnungen (Architektur),,,,,St.Peter,,,
0,6134,Rötelzeichnung (Grundriss) + Reproduktion,,,,,St.Peter,,,
0,6135,Rötelzeichnung (Grundriss) + Reproduktion,,,,,St.Peter,,,
0,6136,Plan (Bramante),,,,,,,,
0,6137,Plan (Bramante),,,,,,,,
0,6138,Plan (Bramante),,,,,,,,
0,6139,Plan (Bramante),,,,,,,,
0,6140,"Plan (Bramante, Detail)",,,,,,,,
0,6141,"Plan (Bramante, Detail)",,,,,,,,
0,6142,Rötelskizzen (Architektur),,,,,,,,
0,6143,Rötelskizzen (Architektur),,,,,,,,
0,6144,Rötelskizzen (Architektur),,,,,,,,
0,6145,Rötelskizzen (Architektur),,,,,,,,
0,6146,Rötelskizzen (Architektur),,,,,,,,
0,6147,Rötelskizzen (Architektur),,,,,,,,
0,6148,Grundriss (Rötel),,,,,,,,
0,6149,Grundriss (Rötel),,,,,,,,
0,6150,Grundriss (Rötel),,,,,,,,
0,6151,Manuskript Gesamtansicht,RF,I.1.2 ,,,,,,
0,6152,Manuskript Detail mit handschriftlichen Vermerken ,RF,I.1.2,,,,,,
0,6153,Skizze (nach Gemälde?),,,,,zweifigurig,,,
0,6154,Bleistiftskizzen (Architektur) mit Notizen,,,,,,,,
0,6155,Bleistiftskizze (Grundriss) mit Notizen,,,,,,,,
0,6156,Bleistiftskizze (Grundriss) mit Notizen,,,,,,,,
0,6157,Bleistiftskizze (Architektur) mit Notizen ,,,,,,,,
0,6158,"Briefumschlag (Vorderseite, beschriftet)",,,,,,,,
0,6159,Tuscheskizzen (Architekturelemente) mit Notizen,,,,,,,,
0,6160,Tuscheskizze (Architektur) mit Notizen und Vermessungen,,I.1.6.g,,,Capella di Portogallo,,,
0,6161,Bleistiftskizze (sakraler Innenraum) mit Notizen,,,,,,,,
0,6162,"Briefumschlag (Vorderseite, beschriftet)",,,,,,,,
0,6163,"Briefumschlag (Rückseite, beschriftet)",,,,,,,,
0,6164,"Briefumschlag (Vorderseite, beschriftet)",,,,,Anmerkungen von Geymüller mit blauem Farbstift,,,
0,6165,,,,,,,,,
0,6166,,,,,,,,,
0,6167,,,,,,,,,
0,6168,Bleistiftskizzen (Architektur) mit Notizen,,,,,,,,
0,6169,Bleistiftskizze (Architektur) mit Notizen,,I.1.9.c,,,San Agostino,,,
0,6170,Bleistiftskizze (Landschaft) ,,,,,,,,
0,6171,Bleistiftskizze (Architektur) mit Notizen,,,,,,,,
0,6172,Bleistiftskizzen (Landschaften) mit Anmerkungen,,,,,,,,
0,6173,Bleistiftskizzen (Architektur) mit Notizen,,,,,,,,
0,6174,Bleistiftskizze (Architektur),,,,,,,,
0,6175,Bleistiftskizzen (Architektur) mit Notizen,,,,,,,,
0,6176,Bleistiftskizzen (Architektur) mit Notizen,,,,,,,,
0,6177,Bleistiftskizzen (Architektur mit Notizen,,,,,,,,
0,6178,Bleistiftskizzen (Architektur) mit Notizen,,,,,,,,
0,6179,Bleistiftskizze (Architektur) mit Notizen,,,,,,,,
0,6180,Bleistiftskizze (Architektur) mit Notizen,,,,1988,,,,
0,6181,Bleistiftskizze (Architektur) mit Notizen,,,,,,,,
0,6182,,,,,,,,,
0,6183,,,,,,,,,
0,6184,,,,,,,,,
0,6185,,,,,,,,,
0,6186,,,,,,,,,
0,6187,,,,,,,,,
0,6188,,,,,,,,,
0,6189,,,,,,,,,
0,6190,,,,,,,,,
0,6191,,,,,,,,,
0,6192,,,,,,,,,
0,6193,,,,,,,,,
0,6194,,,,,,,,,
0,6195,,,,,,,,,
0,6196,,,,,,,,,
0,6197,,,,,,,,,
0,6198,,,,,,,,,
0,6199,,,,,,,,,
0,6200,,,,,,,,,
0,6201,,,,,,,,,
0,6202,,,,,,,,,
0,6203,,,,,,,,,
0,6204,,,,,,,,,
0,6205,,,,,,,,,
0,6206,,,,,,,,,
0,6207,,,,,,,,,
0,6208,,,,,,,,,
0,6209,,,,,,,,,
0,6210,,,,,,,,,
0,6211,,,,,,,,,
0,6212,,,,,,,,,
0,6213,,,,,,,,,
0,6214,,,,,,,,,
0,6215,,,,,,,,,
0,6216,,,,,,,,,
0,6217,,,,,,,,,
0,6218,,,,,,,,,
0,6219,,,,,,,,,
0,6220,,,,,,,,,
0,6221,,,,,,,,,
0,6222,,,,,,,,,
0,6223,,,,,,,,,
0,6224,,,,,,,,,
0,6225,,,,,,,,,
0,6226,Tuscheskizzen mit Notizen,,I.1.22.h,Geymüller,,Palazzo Spannocchi,,,
0,6227,Bleistiftskizzen mit Notizen,,I.1.22.h,Geymüller,,Palazzo Spannocchi,,,
0,6228,Fotografie (Vorderseite),,,,,abgebildet: Haus   Menschen   Fahrzeug,,,
0,6229,"Briefumschlag (Vorderseite, beschriftet)",,,,,,,,
0,6230,Buch (Vorderseite) mit Etikett des Kunshistorischen Instituts der Universität Graz,,,,,,,,
0,6231,Ex Libris ,,,Otto Loewi,,,,,
0,6232,Bleistiftskizze (Architektur),,,Geymüller,,nach Leonardo,,,
0,6233,Bleistiftskizzen (Architektur),,,Geymüller,,nach Leonardo,,,
0,6234,Bleistiftskizze (Architektur) mit Notizen,,I.2.6.b,Geymüller,1878,,Paris,,
0,6235,Bleistiftskizze (Architektur) mit Notizen,RF,I.2.6.c,Geymüller,1886,,,,
0,6236,Tuscheskizze (Architektur) mit Notizen,RF,I.2.6.c,Geymüller,,,,,
0,6237,Tuscheskizze (Architektur   Ornamentik),RF,I.2.6.c,Geymüller,,,,,
0,6238,Tuscheskizze (Architektur   Ornamentik) mit Notizen,RF,I.2.6.c,Geymüller,,,,,
0,6239,Brief Seite II,,I.2.7.d,G. Stehelin ,1893,,Basel,,
0,6240,Brief Seite I,,I.2.7.d,G. Stehelin ,1893,,Basel,,
0,6241,Vorarbeiten RF Manuskript (Tabelle),,I.2.9.d,Geymüller,,,,,
0,6242,,,,,,,,,
0,6243,,,,,,,,,
0,6244,"Visitenkarte (Vorderseite, beschriftet)",,I.4.1.a,Geymüller,1897,Aufschrift u.a.: Baron Henry de Geymüller   Architecte   Correspondant de l'Institut de France   Baden-Baden   Louisenstrasse 3,,,
0,6245,Bleistiftskizzen (Grundrisse) mit Beschriftungen  ,,I.4.1.a,Geymüller,,Aufschrift u.a.: Belvedere Wien   Würzburg,,,
0,6246,,,,,,,,,
0,6247,,,,,,,,,
0,6248,,,,,,,,,
0,6249,,,,,,,,,
0,6250,,,,,,,,,
0,6251,,,,,,,,,
0,6252,,,,,,,,,
0,6253,,,,,,,,,
0,6254,,,,,,,,,
0,6255,,,,,,,,,
0,6256,,,,,,,,,
0,6257,,,,,,,,,
0,6258,,,,,,,,,
0,6259,,,,,,,,,
0,6260,,,,,,,,,
0,6261,,,,,,,,,
0,6262,,,,,,,,,
0,6263,,,,,,,,,
0,6264,,,,,,,,,
0,6265,Brief Seite I,,I.6.1.d,Peter Jetten,1897,"Generalverwaltung der königlichen Museen, Bibliothek des Kgl. Kunstgewerbe-Museums",,,
0,6266,Brief Seite II,,I.6.1.d,Peter Jetten,1897,"Generalverwaltung der königlichen Museen, Bibliothek des Kgl. Kunstgewerbe-Museums",,,
0,6267,Bleistifttabelle (mit Tusche-Anmerkungen),,I.6.1.d,Geymüller,,,,,
0,6268,Bleistifttabelle (mit Tusche-Anmerkungen),,I.6.1.d,Geymüller,,,,,
0,6269,Bleistifttabelle ,,I.6.1.d,Geymüller,,,,,
0,6270,Bleistifttabelle,,I.6.1.d,Geymüller,,,,,
0,6271,Notizen zur Bleistifttabelle,,I.6.1.d,Geymüller,,,,,
0,6272,Tuscheskizze (für die Tabelle),,I.6.1.d,Geymüller,,,,,
0,6273,Entwurf für eine Tabelle (Tusche),,I.6.1.d,Geymüller,,Michelangelo   Bramante   Raffael,,,
0,6274,Entwurf für eine Tabelle (Blei- und Farbstift),,I.6.1.d,Geymüller,,,,,
0,6275,Entwurf für eine Tabelle (Bleistift und Tusche),,I.6.1.d,Geymüller,,,,,
0,6276,Notiz ,,I.6.1.d,Vera K,,an Geymüller,,,
0,6277,"Deckblatt Mäppchen (Vorderseite, beschriftet)",,I.6.1.e,Geymüller,,Aufschrift: Stil-Formen,,,
0,6278,Bleistiftskizze (Architektur) mit Notizen,,I.6.1.e,Geymüller,,Pompeji,,,
0,6279,Bleistiftskizze (Architektur) mit Notizen,,I.6.1.e,Geymüller,,Pompeji,,,
0,6280,Bleistiftskizze (Architektur) mit Notizen,,I.6.1.e,Geymüller,,Pompeji,,,
0,6281,Bleistiftskizzen (Rahmungen),,I.6.1.e,Geymüller,,,,,
