Metadaten,INVNR,OBJEKT,BEZEICHNUNG,INHALT_DARGESTELLT,MATERIAL,TECHNIK,MASZE,Thema,AUFSCHRIFT_MERKMALE,SP,Th,B,S,Rac,Dmpf,L,Mich,Raf,HK,DC,Rf,T,publiziert_in_Publikation,vorgesehen_zur_Publikation,REFERENT_Eigenschaft_1,REFERENT_Typ_1,QUELLE_Beziehung_REFERENT_1,REFERENT_Zeit_1,REFERENT_Ort_1,REFERENT_Bezeichnung_1,REFERENT_Eigenschaft_2,REFERENT_Typ_2,QUELLE_Beziehung_REFERENT_2,REFERENT_Zeit_2,REFERENT_Ort_2,REFERENT_Bezeichnung_2,REFERENT_Eigenschaft_3,REFERENT_Typ_3,QUELLE_Beziehung_REFERENT_3,REFERENT_Zeit_3,REFERENT_Ort_3,REFERENT_Bezeichnung_3,REFERENT_Eigenschaft_4,REFERENT_Typ_4,QUELLE_Beziehung_REFERENT_4,REFERENT_Zeit_4,REFRENT_Ort_4,REFERENT_Bezeichnung_4,REFERENT_Eigenschaft_5,REFERENT_Typ_5,QUELLE_Beziehung_REFERENT_5,REFERENT_Zeit_5,REFERENT_Ort_5,REFERENT_Bezeichnung_5,REFERENT_Eigenschaft_6,REFERENT_Typ_6,QUELLE_Beziehung_REFERENT_6,REFERENT_Zeit_6,REFERENT_Ort_6,REFERENT_Bezeichnung_6,REFERENT_Eigenschaft_7,REFERENT_Typ_7,QUELLE_Beziehung_REFERENT_7,REFERENT_Zeit_7,REFERENT_Ort_7,REFERENT_Bezeichnung_7,REFERENT_Eigenschaft_8,REFERENT_Typ_8,QUELLE_Beziehung_REFERENT_8,REFERENT_Zeit_8,REFERENT_Ort_8,REFERENT_Bezeichnung_8,REFERENT_Eigenschaft_9,REFERENT_Typ_9,QUELLE_Beziehung_REFERENT_9,REFERENT_Zeit_9,REFERENT_Ort_9,REFERENT_Bezeichnung_9,REFERENT_Eigenschaft_10,REFERENT_Typ_10,QUELLE_Beziehung_REFERENT_10,REFERENT_Zeit_10,REFERENT_Ort_10,REFERENT_Bezeichnung_10,REFERENT_Eigenschaft_11,REFERENT_Typ_11,QUELLE_Beziehung_REFERENT_11,REFERENT_Zeit_11,REFERENT_Ort_11,REFERENT_Bezeichnung_11,,,,,,,AUDIO Text,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*(E) = Einlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I.1.8,Skizzenbuch,Skizzenbuch (1868|2 Rom),Skizzen und Notizen,94 Blätter Papier - einband,gebunden,130 x 200 mm,,,x,,,x,,,,,,,,,,,,materiell,Artefakte,darstellend,1868,Rom - Vatikan - München - Bari - Venezia,diverse Architekturen,materiell,natürliche Objekte,darstellend,,San Pietro in Montorio,Panorama,materiell,Literatur,verweisend,,Vasari VIII. - 97,von Bramante,materiell,Artefakt,darstellend,,Rom,Melozzo - da Forlì > Abbildungen (Melpomene u.a.),materiell,Literatur,wiedergebend,,Discorso sul testo della Commedia di Dante/II (1887),Divina Commedia: Foscolo - Ugo,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,I.1.8 (E),Postkarte,"Karte (B. T. Batsford 1899), Skizzenbuch (1868|2 Rom)",Nachricht (von B.T. Batsford - per W.H.D.),Papier,,130 x 180 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,1899,London > Baden-Baden,B. T. Batsford (Pbulisher),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,I.1.8 (E),Zeichnung ,"Zeichnung (auf Transparentpapier, Grundriss [vermutl. Rom]) - Skizzenbuch (1868|2 Rom)",Grundriss: Rom [vermutlich],Transparentpapier,Transparentpapier,286 x 360 mm,,,,,,x,,,,,,,,,,,,materiell,Artefakt,darstellend,NULL,Rom,Kastell,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,I.1.8 (E),Blatt,Blatt (Liste von Objekten) - Skizzenbuch (1868|2 Rom),Rom - Vatikan - Casa di Raffaello - St. Pierre - Bramante,Papier,,180 x 234 mm,,,,,,x,,,,,,,,,,,,materiell,Artefakte,darstellend,1868,Rom - Vatikan - München - Bari - Venezia,St. Peter - Basilika Constantin - Casa di Raffaello - u.v.a.,immateriell,Konzepte,darstellend,,NULL,Bramante - Raffael - Peruzzi - u.v.a.,immateriell,Reise,wiedergebend,,Rom,Reise nach Rom,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,I.1.8 (E),Kuvert,Kuvert - Skizzenbuch (1868|2 Rom),Aufschrift - Siegel ,Papier,,,,Rückseite: Siegel,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I.1.8 (E),Blatt,Blatt - Skizzenbuch (1868|2 Rom),Wappen,Papier,Druck,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IV.6.3,Skizzenbuch,Skizzenbuch (1881/1882 Rom),Skizzen und Notizen - Rom,92 Blätter Papier - Einband,gebunden,125 x 222 mm,,,x,,,x,,,,,,,,,,,,materiell,Artefakte,darstellend,1881 - 1882,Rom - Vatikan,St. Peter - diverse Architekturen,materiell,natürliche Objekte,darstellend,,Villa Madama (Rom),Panorama,immateriell,Reise,wiedergebend,,Rom,Reise nach Rom,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,IV.6.3 (E),Blatt,"Skizzenblatt (Befestigungsanlage, Rom)",Skizzen und Notizen - Rom,Papier,,107 x 169 mm,,,,,,x,,,,,,,,,,,,materiell,Artefakt,darstellend,1881 - 1882,Rom,Kastell,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IV.6.3 (E),Blatt,"Skizzenblatt (Befestigungsanlage, Rom)",Skizzen und Notizen - Rom ,Papier,,107 x 169 mm,,"Anmerkung: ""Copie en 1902 d'après mes notes au crayon prises sur place en 1882 et marquèes sur le plan de Rome de 1881 [...]"" ""ich weiß 1902 nicht mehr genau was das bedeutet""",,,,x,,,,,,,,,,,,materiell,Artefakt,darstellend,1881 - 1882,Rom,Kastell,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
