"bearbeitet","INVENTARNUMMER","TYP","BESCHRIFTUNG","THEMATISCHE ZUORDNUNG","PUBLIKATION","ORT","JAHR","RELEVANZ","INHALT","FOTO","KOMMENTAR","Ges.anzahl","","","","",""
"0","","","","","","","","","","","","","","","","",""
"1","I.1.1","Manuskript ","(keine)","Rf","","","","","Korrekturfahnen Renaissance Frankreich (42-130)","","","88","","","","",""
"1","I.1.2","Manuskript ","Ms II Bd. 1 (...)","Rf","","","","","Manuskript Renaissance Frankreich (1-675)","","startet bei Kapitel 6 (Baustile)","675","","","","",""
"0","I.1.3.a","Sammlung loser Blätter","Paris HvG; Cabinet des Estampes Paris (?)","Rf","","","","","22 Notizen und Skizzen (auf Transparentpapier)","","Notizen vor Ort aufgenommen","22","","","","",""
"0","I.1.3.b","Sammlung loser Blätter","Paris HvG; In Paris zu finden","Rf","","","","XXX","18 Zeichnungen beschriftet (ital.), 2 Notizen","","Skizzen von Werken von Louvre-Künstlern","20","","","","",""
"0","I.1.3.c","Sammlung loser Blätter","Paris HvG","Rf ","","","1904","XXX","1 Brief (Abs. Bibliotheque National; Henri Doheran/Doherain/Dohèrain/Doherian)","","","1","","","","",""
"1","I.1.4","Sammlung loser Blätter","Nr. 97 HvG (?)","Rf","","","1899","XXX","1 Skizzenbuch (Adressen, Abrechnungen, Namenslisten, div. Einträge, Zeichnungen; Louvre)","","Seite 1: HvG Adresse in Baden-Baden - Louisen Straße 3; Gustaf Moreau (Luxenburg). Henrie Rupp. Dellacotte; vor Ort Skizzen (Theater von Parma, Zeichung Medicikapelle u.a.); Einlagenotiz in anderem Format (Toscanawerk); Collection Lasalle ","1","","","","",""
"1","I.1.5.a","Sammlung loser Blätter","5) Cancelleria","B","","","1908","XXX","45 Notizen und Skizzen zur Cancelleria (Lageplan, Pläne, Detailzeichnungen) - für geplante Publikation über Bramante","","","45","","","","",""
"1","I.1.5.b","Sammlung loser Blätter","Cancelleria; Vorbild für die Kapitelle des Hofs der Cancelleria ","B","","","","","2 Skizzen","","Villa Giulia, San Pietro in Montorio","2","","","","",""
"1","I.1.5.c","Sammlung loser Blätter","Cancelleria; Richtung Bramante in Toscana","B","","","","","2 Notizen","","","3","","","","",""
"1","I.1.5.d","Sammlung loser Blätter","Cancelleria; Corneille","S Rf","","","","XXX","6 Notizen","","Manuskrip Rf; vgl. mit Kapitel: Die freie Stilströmung; Die strenge Stilströmung ","6","","","","",""
"1","I.1.6.a","Sammlung lose Blätter","Details; Details I. Allgemeines über das Detail","S (T)","","","1898","","1 Brief (mit kleinen Skizzen 1887), 11 Notizen und Skizzen (Profilierung), 10 Notizen und Skizzen (Ergänzung der Details durch Malerei), 16 Notizen und Skizzen (Profilierung), 3 Notizen (Allgemeines), Umschlag (Skulpierte Glieder) leer","","","40","","","","",""
"1","I.1.6.b","Sammlung lose Blätter","Details; Details II.","S (T)","","","","","18 Notizen und Skizzen (Details Entiwcklung Laubwerk), 5 Notizen (Die menschliche Figur als Element der Dekorationen), 1 Notiz (Flechtwerk Umschlag Rankenwerk)","","","","","","","",""
"1","I.1.6.c","Sammlung lose Blätter","Details; Toscana Mamorarbeiten","T","","","","","7 Notizen","","","7","","","","",""
"1","I.1.6.d","Sammlung lose Blätter","Details; Backstein und Terracotta Materialien","T","","","","","7 Notizen","","","12","","","","",""
"1","I.1.6.e","Sammlung lose Blätter","Details; Technisches Praxis Geschäftliches","T","","","","","1) 10 Notizen und Skizzen (Technisches); 2) 17 Notizen (Baumaterila); 3) Maßstäbe; 4) 6 Notizen (Geldwerth); 5) 44 Notizen und Skizzen (Struktives und Technisches), 1 Notiz (Technik des Einzelnen. Meissel); 1 Notiz (Struktives)","","Struktives: Kopie Kuppelkonstruktion","83","","","","",""
"1","I.1.6.f","Sammlung lose Blätter","Details; Gesetzte der Komposition","T (S)","","","","","2 Notizen und Skizzen (?)","","","2","","","","",""
"1","I.1.6.g","Sammlung lose Blätter","Details; Verhältnisse im Allgemeinen","T (S)","","","","","1) 4 Notizen und Skizzen; 2) 6 Notizen und Skizzen (Verhältnisse im Allgemeinen)","","","10","","","","",""
"1","I.1.7.a","leer","o. Angabe; freie Säulenordnung","","","","","","","","","0","","","","",""
"1","I.1.7.b","Sammlung lose Blätter","Candelaberformen","T (S)","","","","","3 Notizen und Skizzen","","","3","","","","",""
"1","I.1.7.c","Sammlung lose Blätter","Piedestale und Basen","T (S)","","","","","3 Notizen","","","3","","","","",""
"1","I.1.7.d","Sammlung lose Blätter","Säulen und Pilster","T (S)","","","","","60 Notizen und Skizzen (Gebälk und Gesimse; Säulen und Pilaster; Capitälle)","","","60","","","","",""
"1","I.1.7.e","Sammlung lose Blätter","Florenz. Paläste und Häuser I. S.","T","","","1887 (?), 1888, 1898 (?)","","1) 3 Skizzen (Pal Cuccoli); 2) 4 Notizen und Skizzen (Pal Antinori); 3) 3 Notizen und Skizzen (Nonfinito, Strozzi); 4) 3 Notizen und Skizzen (Linkes Ufer); 5) 36 Notizen und Skizzen, 2 Drucke (Häuse und kleine Paläste); 6) 1 Brief (Stegmann. Von Florenz aus erledigt); 1 Brief (Mirabaud-Paccaro; Puerari; Rue Teitbout 29 Paris); 2 Andrucke auf Milchpapier 1888 vom Verlag Eduard Schulte Kunsthandlung München Sopienstraße 6)","","","51","","","","",""
"1","I.1.8","Son","HvG (Adresse in Rom)","S","","","1868","","1 Heft: 188 Seiten mit Notizen und Skizzen (Antike, Renaissance, Barock und nach Bildern); (Zentralbau in Viterbo(?), Velletri), Postkarte, Zeittabelle","","AUSSTELLUNG entnommen","?","","","","",""
"1","I.1.9.a","Son (loses Kuvert)","Montepulciano II; Peruzzi, Vignola. Adressen","T","","","","","1) 4 Visitenkarten (Besitzer von Palästen: Carruci, Conducci, Valimgli, Ing. Ilari, u.a.)","","","4","","","","",""
"1","I.1.9.b","Sammlung lose Blätter","Montepulciano II; Peruzzi, Vignola. Zu sehen oder zu kontrollieren","T","","","","","4 Notizen","","","7","","","","",""
"0","I.1.9.c","Sammlung lose Blätter","Montepulciano II; Peruzzi, Vignola. Umgebung","T","","","","","6 Notizen und Skizzen (Montepulciano St. Agostino 1887)","","","6","","","","",""
"1","I.1.9.d","Sammlung lose Blätter","Montepulciano II; Peruzzi, Vignola. Dom","T","","","1897","","2 Skizzen (Montepulciano Dom 1897, Campagnile)","","","2","","","","",""
"1","I.1.9.e","Sammlung lose Blätter","Montepulciano II; Peruzzi, Vignola. S. Agostino","T","","","1887","","11 Notzien und Skizzen","","","13","","","","",""
"1","I.1.10","Sammlung lose Blätter","Marciano","T","","","","","6 Notizen und Skizzen: (in 1 Umschlag)","","","6","","","","",""
"0","I.1.11.a","Sammlung lose Blätter","Pisa 1905; 1905 8.Giugno. Giovedi. Battisterio","T","","","1905","","17 Notizen, 7 Originalfotos (9x9 vergilbt Pisa Battisterio), 1 Postkarte (gesamt Kanzel)","","","26","","","","",""
"1","I.1.11.b","Sammlung lose Blätter","Pisa 1905; Pisa Camposanto 8.VI.1905","T","","","1905","","2 Postkarten, 2 Originalfotografien (9x9), 7 Notizen","","","11","","","","",""
"1","I.1.11.c","Sammlung lose Blätter","Pisa 1905; Pisa Campagnile 8./9. VI 1905","T","","","1905","","3 Originalfotos (9x9), 3 Notizen","","","6","","","","",""
"1","I.1.11.d","Sammlung lose Blätter","Pisa 1905; Pisa 1905 Duomo","T","","","1905","","4 Originalfotografien (9x9), 2 Postkarten, 17 Notizen","","","23","","","","",""
"1","I.1.11.e","Sammlung lose Blätter","Pisa 1905; Pisa 1905 Venerdi; S. Paolo","T","","","1905","","3 Notizen und Skizzen","","","3","","","","",""
"1","I.1.11.f","Sammlung lose Blätter","Pisa 1905; Pisa, Verschiedenes 1905","T","","","1905","XXX","6 Postkarten (Pisa), 5 Notizen und Skizzen","","","11","","","","",""
"1","I.1.12","Fotografien","Palais facades 4","T","","","","XXX","4 Fotos und Negative (Zeichnungen aus Skizzenbuch?)","","","8","","","","",""
"1","I.1.13","Sammlung lose Blätter","Für Toscana","T","","","1898","","7 Notizen und Skizzen (S. Nicola, Alinari)","","Titel: Für Toskanawerk eventuelle Illustrationen, Fotogragfien und Naturaufnahmen","7","","","","",""
"1","I.1.14","Sammlung lose Blätter","lavori per Alinari, ordinati","T","","","1898","","29 Notizen und Skizzen, 4 Fotos (Reproduktionen 12x9; Peruzzi, San Gallo, Donatello, Pogio Reale, Lorenzo da Siena, Uffizi)","","","33","","","","",""
"1","I.1.15","Sammlung lose Blätter","Event. Illustrati, Uffizi","T","","","1887","","16 Notizen und Skizzen","","","22","","","","",""
"1","1.16.a","Sammlung lose Blätter","Volterra; Valerio","T","","","","","9 Notizen und Skizzen (kleinformatig)","","","9","","","","",""
"1","I.1.16.b","Sammlung lose Blätter","Volterra; Umgebung","T","","","","","71 Notizen und Skizzen (Landschaftsaufnahmen)","","","71","","","","",""
